area_type,Available month,Available status,availability,location,Sizes,bath,balcony,price,Total_Sqft
Built-up  Area, ,Ready To Move,Ready To Move,Kengeri,1 BHK,1,1,15.00,600.00
Super built-up  Area,December,Scheduled dates,19-Dec,Binny Pete,3 BHK,3,1,122.00,1755.00
Plot  Area, ,Ready To Move,Ready To Move,Thanisandra,4 BHK,5,2,380.00,2800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,3 BHK,3,1,103.00,1767.00
Super built-up  Area,November,Scheduled dates,18-Nov, Thanisandra,1 RK,1,0,25.25,510.00
Super built-up  Area,May,Scheduled dates,18-May,Mangammanapalya,3 BHK,3,2,56.00,1250.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,1,1,23.10,660.00
Built-up  Area,December,Scheduled dates,20-Dec,Whitefield,3 BHK,3,2,81.00,1610.00
Super built-up  Area,October,Scheduled dates,17-Oct,Ramagondanahalli,2 BHK,2,2,48.77,1151.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,2,1,47.00,1025.00
Super built-up  Area,December,Scheduled dates,19-Dec,Yelahanka,4 BHK,4,0,186.00,2475.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bisuvanahalli,3 BHK,2,1,35.00,1075.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal,3 BHK,2,2,123.00,1760.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,3,57.39,1693.00
Built-up  Area, ,Ready To Move,Ready To Move,Kasturi Nagar,3 BHK,3,Not Provided,125.00,1925.00
Super built-up  Area,December,Scheduled dates,21-Dec,Kanakpura Road,2 BHK,2,1,36.00,700.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,2 BHK,2,1,45.50,1070.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli,3 BHK,3,2,125.00,1724.00
Super built-up  Area, ,Ready To Move,Ready To Move,Chikkalasandra,3 BHK,2,2,56.12,1290.00
Built-up  Area, ,Ready To Move,Ready To Move,Uttarahalli,2 BHK,2,2,45.00,1143.00
Built-up  Area, ,Ready To Move,Ready To Move,Murugeshpalya,2 BHK,2,Not Provided,81.00,1296.00
Super built-up  Area,December,Scheduled dates,19-Dec,Sarjapur  Road,3 BHK,3,2,38.00,1254.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ganga Nagar,1 BHK,1,0,38.00,600.00
Plot  Area, ,Ready To Move,Ready To Move,Yelahanka,1 BHK,1,0,48.00,660.00
Super built-up  Area,September,Scheduled dates,19-Sep,Kanakpura Road,2 BHK,2,2,91.79,1330.74
Plot  Area, ,Ready To Move,Ready To Move,HSR Layout,8 BHK,9,Not Provided,200.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Doddathoguru,2 BHK,2,0,33.00,970.00
Super built-up  Area,September,Scheduled dates,20-Sep,Whitefield,2 BHK,2,1,94.82,1459.00
Plot  Area, ,Ready To Move,Ready To Move,KR Puram,2 BHK,1,1,130.00,800.00
Built-up  Area, ,Ready To Move,Ready To Move,Himagiri Meadows,2 BHK,2,1,36.00,869.00
Super built-up  Area, ,Ready To Move,Ready To Move,Adarsh Nagar,2 BHK,2,1,50.00,1270.00
Super built-up  Area,March,Scheduled dates,18-Mar,Bhoganhalli,3 BHK,3,1,99.00,1670.00
Built-up  Area, ,Ready To Move,Ready To Move,Whitefield,3 BHK,3,2,91.00,2010.00
Super built-up  Area, ,Ready To Move,Ready To Move,Lakshminarayana Pura,2 BHK,2,2,75.00,1185.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelahanka,3 BHK,2,3,75.00,1600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Begur Road,2 BHK,2,2,44.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ramakrishnappa Layout,2 BHK,2,2,185.00,1500.00
Plot  Area, ,Ready To Move,Ready To Move,Murugeshpalya,6 BHK,4,1,150.00,1407.00
Super built-up  Area, ,Ready To Move,Ready To Move,Govindaraja Nagar Ward,2 BHK,2,2,45.00,840.00
Plot  Area, ,Ready To Move,Ready To Move,Tharabanahalli,3 BHK,3,2,240.00,4395.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ganga Nagar,2 BHK,2,1,55.00,845.00
Plot  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,5,3,650.00,5700.00
Built-up  Area, ,Ready To Move,Ready To Move,Varthur,2 BHK,2,2,44.00,1160.00
Built-up  Area, ,Ready To Move,Ready To Move,Bommanahalli,8 BHK,8,0,140.00,3000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Doddathoguru,2 BHK,2,1,62.00,1100.00
Super built-up  Area,April,Scheduled dates,18-Apr,Gunjur,2 BHK,2,3,43.00,1140.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,1,57.00,1220.00
Plot  Area, ,Ready To Move,Ready To Move,Devarachikkanahalli,8 BHK,7,0,85.00,1350.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,2 BHK,2,1,36.68,1005.00
Plot  Area, ,Ready To Move,Ready To Move,Double Road,3 BHK,3,2,100.00,500.00
Super built-up  Area,August,Scheduled dates,20-Aug,Begur Road,2 BHK,2,1,80.58,1358.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hegde Nagar,3 BHK,3,1,101.00,1569.00
Super built-up  Area,April,Scheduled dates,18-Apr,Haralur Road,2 BHK,2,1,70.00,1240.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hennur Road,3 BHK,3,2,140.00,2089.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothannur,2 BHK,2,1,48.23,1206.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kalena Agrahara,2 BHK,2,3,40.00,1150.00
Built-up  Area, ,Ready To Move,Ready To Move,Cholanayakanahalli,3 BHK,3,3,205.00,2511.00
Built-up  Area, ,Ready To Move,Ready To Move,Kaval Byrasandra,2 BHK,1,0,22.00,460.00
Built-up  Area, ,Ready To Move,Ready To Move,ISRO Layout,6 BHK,6,3,250.00,4400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kodanda Reddy Layout,3 BHK,2,2,105.00,1660.00
Super built-up  Area,March,Scheduled dates,19-Mar,Yelahanka,2 BHK,2,2,78.00,1326.00
Super built-up  Area, ,Ready To Move,Ready To Move,Garudachar Palya,3 BHK,2,2,60.80,1325.00
Super built-up  Area, ,Ready To Move,Ready To Move,EPIP Zone,3 BHK,5,2,102.00,1499.00
Built-up  Area, ,Ready To Move,Ready To Move,Hegde Nagar,6 BHK,7,2,210.00,3000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,3,2,88.00,1665.00
Super built-up  Area,September,Scheduled dates,17-Sep,Dasanapura,2 BHK,2,2,37.00,708.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kasavanhalli,2 BHK,2,2,58.06,1060.00
Plot  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,6 BHK,6,3,160.00,710.00
Built-up  Area, ,Ready To Move,Ready To Move,Sanjay nagar,2 BHK,2,2,70.00,1000.00
Super built-up  Area,December,Scheduled dates,18-Dec,Electronic City,2 BHK,2,1,28.88,1000.00
Super built-up  Area, ,Ready To Move,Ready To Move, Mysore Highway,3 BHK,2,2,70.00,1450.00
Plot  Area, ,Ready To Move,Ready To Move,ISRO Layout,4 BHK,4,2,155.00,1200.00
Super built-up  Area,August,Scheduled dates,17-Aug,Thanisandra,2 BHK,2,3,80.00,1296.00
Super built-up  Area, ,Ready To Move,Ready To Move,Domlur,3 BHK,3,2,90.00,1540.00
Plot  Area, ,Ready To Move,Ready To Move,Kengeri,4 BHK,4,1,245.00,2894.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapura - Attibele Road,3 BHK,2,1,48.00,1330.00
Built-up  Area, ,Ready To Move,Ready To Move,Devasthanagalu,2 BHK,2,1,65.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,T Dasarahalli,3 BHK,3,1,90.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yeshwanthpur,3 BHK,3,3,138.00,2502.00
Built-up  Area, ,Ready To Move,Ready To Move,Chandapura,2 BHK,1,1,17.00,650.00
Plot  Area, ,Ready To Move,Ready To Move,Kothanur,3 BHK,2,1,150.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Green View Layout,2 BHK,2,2,43.00,1007.00
Super built-up  Area, ,Ready To Move,Ready To Move,Shantiniketan Layout,2 BHK,2,2,50.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Peenya,2 BHK,2,2,49.90,966.00
Built-up  Area, ,Ready To Move,Ready To Move,Nagarbhavi,3 BHK,2,1,98.00,1630.00
Built-up  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,3 BHK,3,2,229.00,1640.00
Built-up  Area, ,Ready To Move,Ready To Move,Jalahalli West,2 BHK,2,2,55.68,782.00
Super built-up  Area,April,Scheduled dates,19-Apr,Devanahalli,2 BHK,2,2,66.78,1260.00
Super built-up  Area, ,Ready To Move,Ready To Move,Lakshmiamma Garden,3 BHK,3,3,120.00,1800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Byatarayanapura,3 BHK,2,2,75.00,1413.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,1,51.91,1116.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,2,1,45.90,1530.00
Built-up  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,4 BHK,4,1,225.00,3700.00
Built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,2,140.00,2497.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kengeri,3 BHK,2,3,64.00,1540.00
Super built-up  Area,December,Scheduled dates,18-Dec,Thanisandra,3 BHK,3,1,74.75,1436.00
Super built-up  Area,June,Scheduled dates,18-Jun,Malleshwaram,2 BHK,2,2,75.00,1100.00
Plot  Area, ,Ready To Move,Ready To Move,Hennur Road,2 BHK,3,3,23.00,276.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,3,2,120.00,1427.00
Super built-up  Area, ,Ready To Move,Ready To Move,Akshaya Nagar,3 BHK,3,1,200.00,2061.00
Super built-up  Area,March,Scheduled dates,18-Mar,Hebbal,4 BHK,4,0,477.00,5611.50
Built-up  Area, ,Ready To Move,Ready To Move,Shampura,4 BHK,4,2,150.00,2650.00
Super built-up  Area,December,Scheduled dates,22-Dec,Devanahalli,3 BHK,2,2,68.52,1282.00
Built-up  Area, ,Ready To Move,Ready To Move,Kadugodi,2 BHK,2,1,34.00,1050.00
Built-up  Area, ,Ready To Move,Ready To Move,LB Shastri Nagar,3 BHK,3,2,65.00,1600.00
Super built-up  Area,January,Scheduled dates,22-Jan,Vajarahalli,2 BHK,2,1,54.00,945.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hormavu,2 BHK,2,1,78.00,1500.00
Plot  Area, ,Ready To Move,Ready To Move,Vishwapriya Layout,7 BHK,7,0,115.00,950.00
Built-up  Area, ,Ready To Move,Ready To Move,Peenya,3 BHK,3,3,110.00,1870.00
Plot  Area, ,Ready To Move,Ready To Move,Sarjapur,3 BHK,3,1,75.00,1600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,1,1,16.50,880.00
Plot  Area, ,Ready To Move,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 BHK,4,0,210.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kudlu Gate,3 BHK,3,2,83.00,1535.00
Built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,2 BHK,2,1,57.00,950.00
Super built-up  Area,August,Scheduled dates,18-Aug,Devanahalli,2 BHK,2,1,65.00,1360.00
Super built-up  Area,March,Scheduled dates,19-Mar,8th Phase JP Nagar,2 BHK,2,0,54.01,1073.50
Super built-up  Area,May,Scheduled dates,18-May,Bommasandra Industrial Area,3 BHK,3,1,50.40,1280.00
Super built-up  Area,January,Scheduled dates,19-Jan,Chandra Layout,3 BHK,2,2,85.05,1260.00
Built-up  Area, ,Ready To Move,Ready To Move,Hennur Road,8 BHK,8,Not Provided,250.00,5000.00
Super built-up  Area,December,Scheduled dates,19-Dec,Yelahanka,5 BHK,5,1,213.00,3050.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kasavanhalli,3 BHK,3,1,105.00,1563.05
Super built-up  Area, ,Ready To Move,Ready To Move,ISRO Layout,2 BHK,2,1,60.00,1000.00
Super built-up  Area,July,Scheduled dates,17-Jul,Anandapura,2 BHK,2,1,43.76,1167.00
Super built-up  Area, ,Ready To Move,Ready To Move,Vishveshwarya Layout,7 BHK,7,2,225.00,4000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothanur,3 BHK,3,Not Provided,110.00,1828.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kengeri Satellite Town,2 BHK,2,1,35.00,890.00
Super built-up  Area, ,Ready To Move,Ready To Move,Basavanapura,3 BHK,3,3,46.74,1612.00
Plot  Area, ,Ready To Move,Ready To Move,Dinnur,6 BHK,5,Not Provided,185.00,1034.00
Super built-up  Area,April,Scheduled dates,19-Apr,Mysore Road,3 BHK,4,2,91.31,1710.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kannamangala,2 BHK,2,1,58.00,957.00
Super built-up  Area,May,Scheduled dates,18-May, Devarachikkanahalli,3 BHK,2,3,44.00,1250.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sanjeevini Nagar,3 BHK,4,Not Provided,235.00,2795.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hulimavu,2 BHK,2,2,50.00,1125.00
Super built-up  Area,July,Scheduled dates,18-Jul,Electronic City Phase II,2 BHK,2,1,30.60,1020.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kalena Agrahara,2 BHK,2,2,50.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,3,3,135.00,1735.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,3,1,145.00,2050.00
Plot  Area, ,Ready To Move,Ready To Move,Mahalakshmi Layout,4 BHK,4,0,760.00,3750.00
Built-up  Area, ,Ready To Move,Ready To Move,Yarandahalli,3 BHK,2,3,48.00,1350.00
Super built-up  Area,May,Scheduled dates,18-May,Hosa Road,2 BHK,2,1,32.00,1063.00
Super built-up  Area, ,Ready To Move,Ready To Move,Keshava Nagar,3 BHK,3,1,150.00,1904.00
Built-up  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,4,2,420.00,4200.00
Super built-up  Area, ,Ready To Move,Ready To Move,RMV Extension,3 BHK,3,1,175.00,2000.00
Super built-up  Area,December,Scheduled dates,18-Dec,Sarjapur,2 BHK,2,0,43.49,1242.50
Super built-up  Area, ,Ready To Move,Ready To Move,Tejaswini Nagar,3 BHK,2,2,75.00,1425.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,2,1,64.50,1500.00
Built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,60.00,1060.00
Built-up  Area, ,Ready To Move,Ready To Move,Jai Bheema Nagar,3 BHK,2,2,70.00,1470.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothnur Narayanapura,6 BHK,6,0,99.00,1300.00
Super built-up  Area, ,Ready To Move,Ready To Move,Attibele,1 BHK,1,1,11.00,450.00
Super built-up  Area,April,Scheduled dates,18-Apr,Electronic City,2 BHK,2,1,64.50,1152.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,2,1,56.00,1350.00
Super built-up  Area, ,Ready To Move,Ready To Move,CV Raman Nagar,3 BHK,3,3,65.00,1550.00
Plot  Area, ,Ready To Move,Ready To Move,CHIKKATIRUPATHI,3 BHK,3,2,100.00,1500.00
Plot  Area, ,Ready To Move,Ready To Move,Kumaraswami Layout,5 BHK,3,2,85.00,600.00
Plot  Area, ,Ready To Move,Ready To Move,Nagavara,1 BHK,1,0,14.00,400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Malleshwaram,1 BHK,1,2,67.00,705.00
Built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,1,1,36.00,770.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hulimavu,2 BHK,2,3,51.00,1242.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal Kempapura,3 BHK,3,2,155.00,1700.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,3,2,145.00,2144.00
Super built-up  Area,June,Scheduled dates,21-Jun,Vijayanagar,3 BHK,3,2,110.00,1704.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,52.00,1070.00
Plot  Area, ,Ready To Move,Ready To Move,8th block Koramangala,3 BHK,3,2,300.00,1846.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jakkuru Layout,2 BHK,2,2,55.70,1340.00
Built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,46.00,1025.00
Super built-up  Area, ,Ready To Move,Ready To Move,KR Puram,2 BHK,2,0,56.80,1277.50
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,2,52.00,1200.00
Built-up  Area,December,Scheduled dates,18-Dec,Kanakpura Road,4 BHK,4,1,110.00,2250.00
Super built-up  Area, ,Ready To Move,Ready To Move,Pattandur Agrahara,3 BHK,2,3,80.00,1550.00
Plot  Area, ,Ready To Move,Ready To Move,Bellandur,4 BHK,5,Not Provided,325.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,Ejipura,7 BHK,7,1,250.00,1800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,2,60.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelahanka,2 BHK,2,2,98.00,1327.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothanur,2 BHK,2,2,58.00,1186.00
Built-up  Area, ,Ready To Move,Ready To Move,MS Pallya,3 BHK,3,1,115.00,1783.00
Super built-up  Area, ,Ready To Move,Ready To Move,HSR Layout,3 BHK,3,2,56.00,1400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Nagasandra,2 BHK,2,1,48.00,980.00
Super built-up  Area, ,Ready To Move,Ready To Move,EPIP Zone,2 BHK,2,2,82.00,1285.00
Super built-up  Area, ,Ready To Move,Ready To Move,Langford Town,3 BHK,2,1,70.00,912.00
Built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,2,47.60,1225.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,1,53.00,1075.00
Built-up  Area, ,Ready To Move,Ready To Move,Kadugodi,3 BHK,2,2,54.00,1260.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelahanka,3 BHK,2,2,48.70,1282.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kogilu,3 BHK,3,2,88.00,1909.00
Super built-up  Area, ,Ready To Move,Ready To Move,Panathur,2 BHK,2,1,87.00,1359.00
Built-up  Area, ,Ready To Move,Ready To Move,Nagondanahalli,2 BHK,2,2,43.50,1207.00
Plot  Area, ,Ready To Move,Ready To Move,Padmanabhanagar,4 BHK,6,0,190.00,1736.00
Super built-up  Area,May,Scheduled dates,20-May,1st Block Jayanagar,4 BHK,4,1,428.00,2850.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kammasandra,3 BHK,3,2,65.00,1595.00
Built-up  Area,June,Scheduled dates,18-Jun,"Off Sarjapur Road, ",3 BHK,3,2,89.00,1798.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,3 BHK,3,2,78.29,1475.00
Super built-up  Area, ,Ready To Move,Ready To Move,Tala Cauvery Layout,3 BHK,3,3,100.00,1580.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dasarahalli,2 BHK,2,1,65.00,1295.00
Built-up  Area, ,Ready To Move,Ready To Move,Magadi Road,6 BHK,6,0,141.00,3600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,1 BHK,1,1,27.00,589.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ngef Layout,3 BHK,3,3,78.00,1415.00
Super built-up  Area,December,Scheduled dates,18-Dec,Sarjapur  Road,3 BHK,3,2,98.29,1787.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,2,125.00,1787.00
Super built-up  Area, ,Ready To Move,Ready To Move,Koramangala,3 BHK,2,3,90.00,1475.00
Built-up  Area, ,Ready To Move,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,4,1,75.50,2000.00
Super built-up  Area,March,Scheduled dates,19-Mar,Sarjapur  Road,2 BHK,2,1,44.28,984.00
Super built-up  Area, ,Ready To Move,Ready To Move,Muthurayya Swamy Layout,3 BHK,4,2,260.00,2405.00
Built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,2 BHK,2,2,72.00,1080.00
Plot  Area, ,Ready To Move,Ready To Move,Shantiniketan Layout,2 BHK,2,1,115.00,1500.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal,3 BHK,3,2,119.00,1900.00
Super built-up  Area,August,Scheduled dates,19-Aug,Dommasandra,2 BHK,2,1,22.14,805.00
Super built-up  Area, ,Ready To Move,Ready To Move,Budigere,2 BHK,2,2,56.40,1153.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dodda Nekkundi Extension,2 BHK,2,2,60.00,1148.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mylasandra,2 BHK,2,2,55.00,1110.00
Built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,2,42.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kalyan nagar,2 BHK,2,2,110.00,1290.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,2,1,65.00,1500.00
Super built-up  Area,April,Scheduled dates,18-Apr,Bank Of Baroda Colony,2 BHK,2,2,39.00,1080.00
Super built-up  Area,June,Scheduled dates,21-Jun,Vijayanagar,3 BHK,3,1,129.00,1933.00
Built-up  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,5 BHK,5,2,150.00,3500.00
Built-up  Area, ,Ready To Move,Ready To Move,Kullappa Colony,2 BHK,2,2,60.00,1060.00
Super built-up  Area,August,Scheduled dates,18-Aug,Chandapura,1 BHK,1,1,16.45,645.00
Plot  Area, ,Ready To Move,Ready To Move,Mukkutam Nagar,8 BHK,8,2,180.00,2600.00
Super built-up  Area,September,Scheduled dates,18-Sep,Chandapura,1 BHK,1,1,16.45,645.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ashwath Nagar,3 BHK,3,3,84.00,1644.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ncpr Industrial Layout,2 BHK,2,3,72.50,1285.00
Plot  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,3,1,90.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,40.00,910.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothanur,3 BHK,3,1,70.00,1577.00
Plot  Area,May,Scheduled dates,17-May,Meenakunte,3 BHK,3,2,280.00,4050.00
Super built-up  Area, ,Ready To Move,Ready To Move,OMBR Layout,3 BHK,3,2,185.00,2420.00
Super built-up  Area, ,Ready To Move,Ready To Move,Chandapura,2 BHK,1,1,20.00,800.00
Built-up  Area, ,Ready To Move,Ready To Move,Anand Nagar,2 BHK,2,2,55.00,1060.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,2 BHK,2,2,93.00,1270.00
Super built-up  Area,June,Scheduled dates,18-Jun,Shree Ananth Nagar Layout,2 BHK,2,2,22.50,900.00
Built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli Colony,2 BHK,2,1,69.00,1280.00
Plot  Area, ,Ready To Move,Ready To Move,Horamavu Agara,4 BHK,2,0,95.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,2,36.00,1025.00
Super built-up  Area,June,Scheduled dates,17-Jun,Electronic City,2 BHK,2,1,63.00,1108.00
Plot  Area, ,Ready To Move,Ready To Move,MCECHS  layout,5 BHK,5,Not Provided,170.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Coffee Board Layout,3 BHK,3,2,170.00,3045.00
Plot  Area, ,Ready To Move,Ready To Move,Ambedkar Nagar,4 BHK,3,2,300.00,2900.00
Super built-up  Area, ,Ready To Move,Ready To Move,Vijayanagar,3 BHK,3,2,75.50,1500.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,43.90,1295.00
Super built-up  Area, ,Ready To Move,Ready To Move,Budigere,2 BHK,2,1,59.90,1162.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,2,49.20,1035.00
Built-up  Area, ,Ready To Move,Ready To Move,Attibele,4 BHK,4,0,52.80,1600.00
Super built-up  Area, ,Ready To Move,Ready To Move,KUDLU MAIN ROAD,3 BHK,3,2,46.00,1464.00
Super built-up  Area,October,Scheduled dates,18-Oct,Hennur Road,3 BHK,2,2,61.58,1866.00
Super built-up  Area, ,Ready To Move,Ready To Move,Geleyara Balaga Layout,2 BHK,1,1,26.00,700.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kalena Agrahara,3 BHK,3,2,120.00,1804.00
